Sentence
"	<b><font color=""purple"">Heidemarie Martha Stefanyshyn-Piper</font></b> (born on February 7, 1963) is an <b><font color=""purple"">American Naval</font></b> officer and a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">She</font></b> has achieved the rank of Captain in <b><font color=""purple"">the United States Navy</font></b>.	"
"	<b><font color=""purple"">She</font></b> is also a qualified and experienced salvage officer.	"
	null	
"	<b><font color=""purple"">Stefanyshyn-Piper</font></b> has received numerous honors and awards, such as <b><font color=""purple"">the Meritorious Service Medal</font></b>, two <b><font color=""purple"">Navy</font></b> <b><font color=""purple"">Commendation</font></b> <b><font color=""purple"">Medals</font></b>, and two <b><font color=""purple"">Navy</font></b> Achievement <b><font color=""purple"">Medals</font></b>.	"
"	<b><font color=""purple"">She</font></b> has flown on two Space Shuttle missions, <b><font color=""purple"">STS-115 and STS-126</font></b>, during which she completed five spacewalks totaling 33 hours and 42 minutes.	"
"	<b><font color=""purple"">She</font></b> ranks as 25th among the all-time list of space walkers by duration.	"
"	<b><font color=""purple"">Stefanyshyn-Piper</font></b> was born in <b><font color=""purple"">St. Paul</font></b>, <b><font color=""purple"">Minnesota</font></b>, <b><font color=""purple"">United States</font></b>, of Ukrainian-American heritage.	"
"	Her father, Michael (Mykhailo) Stefanyshyn, now deceased, was born in the Halychyna region of Ukraine, and sent to work in Germany during World War II.	"
	null	
"	Stefanyshyn-Piper was raised in the <b><font color=""purple"">Ukrainian</font></b> cultural community of MinneapolisSaint Paul, and speaks the <b><font color=""purple"">Ukrainian</font></b> language.	"
	null	
"	<b><font color=""purple"">She</font></b> is a licensed ham radio operator with Technician License KD5TVR.	"
"	Stefanyshyn-Piper married Glenn A. Piper, and they have one son, Michael, named after Piper's grandfather.	"
	Stefanyshyn-Piper hyphenated her surname after marriage to serve as a reminder of her family roots.	
	Stefanyshyn-Piper received her commission from the Naval ROTC Program at MIT in June 1985.	
"	<b><font color=""purple"">She</font></b> completed training at the Naval Diving and Salvage Training Center in Panama City, Florida as a Navy Basic Diving Officer and Salvage Officer.	"
"	During her Salvage tour, she participated in the de-stranding of the tanker Exxon Houston off the coast of Barbers Point in Hawaii.	"
"	<b><font color=""purple"">Stefanyshyn-Piper</font></b> is currently <b><font color=""purple"">a Captain</font></b> in <b><font color=""purple"">the United States Navy</font></b>.	"
	null	
"	Selected as an <b><font color=""purple"">astronaut</font></b> candidate by <b><font color=""purple"">NASA</font></b> in April 1996, <b><font color=""purple"">Stefanyshyn-Piper</font></b> reported to <b><font color=""purple"">the Johnson Space Center</font></b> in August 1996.	"
"	After two years of training and evaluation, she qualified for flight assignment as a mission specialist.	"
	null	
	null	
"	Stefanyshyn-Piper participated in two of the mission's three EVAs for a total of 12 hours, 8 minutes made her the second most experienced female spacewalker.	"
"	<b><font color=""purple"">She</font></b> also became the first Minnesota woman to go into space.	"
	null	
	null	
"	The mission ended when Endeavour landed successfully at Edwards Air Force Base, California.	"
	null	
	null	
	null	
	null	
"	""I guess one of my crew lock bags was not transferred and it's loose,"" Stefanyshyn-Piper told Kimbrough.	"
"	The bag floated aft and starboard of the station, and did not pose a risk to the station or orbiter.	"
	null	
"	When in orbit, it was visible from the ground using a telescope.	"
	null	
"	While it extended the EVA duration slightly, the major objectives were not changed.	"
"	The estimated value of the equipment lost is US$100,000.	"
	null	
"	""We don't know that this incident occurred because they forgot to tether something.	"
"	We don't know if perhaps the hook just came loose inside the bag,"" Kerrick said.	"
"	""You've got to remember, we are working with humans here and we are prone to human error.	"
"	We do the best we can, and we learn from our mistakes.""	"
"	Said Stefanyshyn-Piper of the incident, ""that definitely was not the high point of the EVA.	"
"	It was very disheartening to watch it float away.""	"
"	In July 2009, <b><font color=""purple"">Stefanyshyn-Piper</font></b> retired from <b><font color=""purple"">NASA</font></b>'s <b><font color=""purple"">Astronaut</font></b> Corps to return to her <b><font color=""purple"">Navy</font></b> duties.	"
	null	
"	In particular, her superb leadership as lead spacewalker during the <b><font color=""purple"">STS-126</font></b> mission resulted in restoring full power generation capability to the International Space Station.	"
"	We wish her the best of luck back in the Navy  she will be missed.""	"
"	<b><font color=""purple"">She</font></b> was awarded two <b><font color=""purple"">NASA</font></b> Space Flight Medals, and the <b><font color=""purple"">NASA</font></b> Exceptional Service Medal.	"
"	In August 2009, Stefanyshyn-Piper reported to the Naval Sea Systems Command as the Chief Technology Officer.	"
"	On May 20, 2011 Captain Stefanyshyn-Piper became commander of the Carderock Division of the Naval Surface Warfare Center in Maryland.	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
