Sentence
	null	
"	<b><font color=""purple"">He</font></b> visited the Mir space station in 1991 aboard <b><font color=""purple"">Soyuz TM-13</font></b>, returning aboard <b><font color=""purple"">Soyuz TM-12</font></b> after spending just over a week in space.	"
"	Together with Clemens Lothaller, he was selected for the Soviet-Austrian space project Austromir 91.	"
	null	
	null	
"	<b><font color=""purple"">Viehbck</font></b> returned after 7 days and 22 hours with <b><font color=""purple"">Soyuz TM-12</font></b>, and landed in Kazakhstan on October 10.	"
"	The following two years he gave numerous lectures on the mission, then went to <b><font color=""purple"">the United States</font></b> and worked for <b><font color=""purple"">Rockwell</font></b>.	"
	When Rockwell was taken over by Boeing he became Director for International Business Development in Vienna.	
	Later he was assigned Technologiebeauftragter (technology coordinator) of Lower Austria.	
"	Viehbck resides in <b><font color=""purple"">Berndorf</font></b>, <b><font color=""purple"">Lower Austria</font></b>.	"
"	<b><font color=""purple"">He</font></b> is married, his daughter Carina was born during his space mission.	"
"	The only other <b><font color=""purple"">space traveller</font></b> who became parent while on orbit is <b><font color=""purple"">Randolph Bresnik</font></b> (<b><font color=""purple"">NASA</font></b>).	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
