Sentence
"</font></b></font></b></font></b></font></b>	<b><font color=""purple"">Michael Reed Barratt</font></b>)]] (born April 16, 1959) is an <b><font color=""purple"">American|United_States]] <b><font color=""purple"">physician|Physician]] and a <b><font color=""purple"">NASA|NASA]] <b><font color=""purple"">astronaut|Astronaut]].	"
	null	
"	His first spaceflight was a long-duration mission to the International Space Station, as a Flight Engineer in the Expedition 19 and 20 crew.	"
"	In March 2011, <b><font color=""purple"">Barratt</font></b> completed his second spaceflight as a crew member of <b><font color=""purple"">STS-133</font></b>.	"
"	Born in Vancouver, <b><font color=""purple"">Washington</font></b>, <b><font color=""purple"">Barratt</font></b> considers <b><font color=""purple"">Camas</font></b>, <b><font color=""purple"">Washington</font></b>, to be his home town.	"
"	<b><font color=""purple"">He</font></b> is married to Dr. Michelle Lynne <b><font color=""purple"">Barratt</font></b> (ne Sasynuik); they have five children.	"
"	His father and mother, Joseph and Donna Barratt, reside in Camas.	"
"	His personal and recreational interests include family and church activities, writing, sailing, and boat restoration and maintenance.	"
"	<b><font color=""purple"">Barratt</font></b> graduated from Camas High School in 1977.	"
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> is board certified in Internal and Aerospace Medicine.	"
"	<b><font color=""purple"">Barratt</font></b> holds a private pilot's license and has been qualified on <b><font color=""purple"">NASA</font></b>'s T-38 Talons.	"
"	<b><font color=""purple"">Barratt</font></b> first worked at NASA Johnson Space Center in May 1991, employed as aerospace project <b><font color=""purple"">physician</font></b> with KRUG Life Sciences.	"
	null	
"	In July 1992 he was assigned as <b><font color=""purple"">NASA</font></b> aviation medical examiner working in Space Shuttle Medical Operations.	"
"	In July 1993 <b><font color=""purple"">Barratt</font></b> was one of a team of the first <b><font color=""purple"">three</font></b> <b><font color=""purple"">Americans</font></b> invited to witness the recovery of a Soyuz spacecraft.	"
	null	
	(The Soyuz was ultimately chosen as the return vehicle for the International Space Station).	
	In January 1994 he was assigned to the Shuttle-Mir Program.	
	null	
	null	
	null	
"	From July 1995 through July 1998, <b><font color=""purple"">Barratt</font></b> served as Medical Operations Lead for the International Space Station (ISS).	"
	null	
"	<b><font color=""purple"">Barratt</font></b> served as lead crew surgeon for <b><font color=""purple"">ISS</font></b> <b><font color=""purple"">Expedition 1</font></b> from July 1998 until selected as an <b><font color=""purple"">astronaut</font></b> candidate.	"
	null	
"	Selected as a Mission Specialist by <b><font color=""purple"">NASA</font></b> in July 2000, <b><font color=""purple"">Barratt</font></b> reported for training in August 2000.	"
"	Following the completion of two years of training and evaluation, he was assigned technical duties in the Astronaut Office Station Operations Branch.	"
"	In October 2004, <b><font color=""purple"">Barratt</font></b> served as an aquanaut during the <b><font color=""purple"">NEEMO</font></b> 7 mission aboard <b><font color=""purple"">the Aquarius underwater laboratory</font></b>, living and working underwater for eleven days.	"
"	<b><font color=""purple"">Barratt</font></b> was assigned to the <b><font color=""purple"">Expedition 19</font></b> crew in February 2008 and launched to <b><font color=""purple"">the International Space Station</font></b> in March 2009 aboard <b><font color=""purple"">Soyuz TMA-14</font></b>.	"
"	His stay aboard the ISS continued through until the end of <b><font color=""purple"">Expedition 20</font></b> in October 2009.	"
"	<b><font color=""purple"">Barratt</font></b> flew as a Mission Specialist on <b><font color=""purple"">STS-133</font></b>, the final flight of <b><font color=""purple"">Space Shuttle Discovery</font></b>.	"
	Aerospace Medical Association; American College of Physicians; Alpha Omega Alpha Medical Honor Society; American Institute for the Advancement of Science.	
	null	
